StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q1,Q58,Q58_4_TEXT,Q1.1,Q57,Q6_1,Q61,Q16,Q17,Q18,Q68,Q69,Q70,Q73,Q74,Q75,Q78,Q79,Q80,Q49_1,Q49_2,Q49_3,Q49_4,Q49_5,Q49_6,Q65,Q64,Q62,condition,link_click_count
2026-05-11 16:46:45,2026-05-11 16:57:15,IP Address,47.64.113.9,100,629,True,2026-05-11 16:57:15,R_82lrlzjdFHsgruS,,,,,48.767,9.1827,anonymous,DE,Ich stimme zu,60-69,Weiblich,,Germany,Abgeschlossene Sekundarbildung,5,Nein,,,,,,,,,,,,,Stimme voll zu,Stimme voll zu,Stimme weder zu noch nicht zu,Stimme eher zu,Stimme voll zu,Stimme voll zu,Gelegentlich,Nein,,D,0
2026-05-11 16:45:49,2026-05-11 16:57:56,IP Address,47.64.113.9,100,726,True,2026-05-11 16:57:56,R_8LcXSbXFr96aTpy,,,,,48.767,9.1827,anonymous,DE,Ich stimme zu,60-69,Männlich,,Germany,Abgeschlossene Sekundarbildung,4,Nein,,,,,,,,,,27%,Ukraine ,217774,Stimme voll zu,Stimme eher zu,Stimme eher nicht zu,Stimme weder zu noch nicht zu,Stimme voll zu,Stimme weder zu noch nicht zu,Regelmäßig,"Die Wahrscheinlichkeit, dass die Antwort richtig sein sollte, würde prozentual dargestellt ",,D,2
2026-05-11 16:48:59,2026-05-11 17:00:32,IP Address,79.211.253.145,100,693,True,2026-05-11 17:00:34,R_81I26ngQVu6LbTs,,,,,53.5544,9.996,anonymous,DE,Ich stimme zu,18-29,Weiblich,,Germany,Abgeschlossene Sekundarbildung,1,Nein,,,,,,,Etwa 25-30%,Ukraine,Etwa 244 000,,,,Stimme eher nicht zu,Stimme eher nicht zu,Stimme voll zu,Stimme eher zu,Stimme voll zu,Stimme eher nicht zu,Selten,Falsche Daten und sehr ungenaue Angaben über die Quellen. Zum Beispiel keine Angabe von wann die Quelle ist. Außerdem fand ich die Formulierung Migrationstrend ungewöhnlich,,C,3
2026-05-11 16:54:18,2026-05-11 17:05:35,IP Address,109.41.115.191,100,676,True,2026-05-11 17:05:35,R_8h9SVGx3tXxNhyF,,,,,52.5196,13.4069,anonymous,DE,Ich stimme zu,18-29,Weiblich,,Germany,"Teilweise Universität, aber ohne Abschluss",2,Nein,"Der Chatbot hat den Datensatz des Statistischen Bundesamtes aus 2022 als Quelle genutzt und sagte das 22,6 Millionen Menschen in Deutschland zu dem Zeitpunkt einen Migrationshintergrund haben.",Aus der Unkraine.,244.000,,,,,,,,,,Stimme eher zu,Stimme eher nicht zu,Stimme voll zu,Stimme gar nicht zu,Stimme voll zu,Stimme eher nicht zu,Gelegentlich,,,A,1
2026-05-11 16:55:46,2026-05-11 17:07:17,IP Address,95.90.243.205,100,690,True,2026-05-11 17:07:18,R_8Qh0mwV7s21ukk9,,,,,52.5149,13.5112,anonymous,DE,Ich stimme zu,18-29,Weiblich,,Germany,"Teilweise Universität, aber ohne Abschluss",1,Nein,,,,,,,27%,ukraine ,240.000,,,,Stimme eher nicht zu,Stimme gar nicht zu,Stimme voll zu,Stimme gar nicht zu,Stimme voll zu,Stimme weder zu noch nicht zu,Regelmäßig,"die antwort hat immer mit „ich bin mir nicht sicher, aber…“ begonnen",,C,3
2026-05-11 17:00:36,2026-05-11 17:10:21,IP Address,80.187.66.214,100,585,True,2026-05-11 17:10:22,R_8PdrlT3LKxdRa1o,,,,,48.767,9.1827,anonymous,DE,Ich stimme zu,18-29,Weiblich,,Germany,"Universität, Bachelor-Abschluss",2,Ja,,,,,,,,,,"Im Jahr 2023 haben laut dem Statistischen Bundesamt etwa 22,3 Millionen Menschen in Deutschland einen Migrationshintergrund. Das entspricht etwa 27% der Gesamtbevölkerung. Personen mit Migrationshintergrund sind definiert als Menschen, die selbst oder von denen mindestens ein Elternteil nicht mit deutscher Staatsangehörigkeit geboren wurde. Diese Zahl umfasst sowohl Menschen mit ausländischen Wurzeln als auch eingebürgerte Personen und Menschen, die als Kinder oder Enkel von Migranten in Deutschland geboren wurden.","Im Jahr 2022 kamen die meisten Zugewanderten in Deutschland aus der Ukraine. Dieser Anstieg ist vor allem auf den Krieg in der Ukraine zurückzuführen, der zu einer großen Fluchtbewegung geführt hat. Viele Menschen suchten Schutz in Deutschland und in anderen europäischen Ländern. Die Bundesregierung hat für ukrainische Geflüchtete besondere Aufenthaltsregelungen getroffen, die eine schnelle Aufnahme und Integration ermöglichen sollen.","Im Jahr 2022 haben in Deutschland rund 244.000 Menschen einen Asylantrag gestellt. Diese Zahl stellt einen Anstieg im Vergleich zu den Vorjahren dar und spiegelt die globalen Entwicklungen wider, die zu Flucht und Migration führen. Die meisten Asylanträge kamen von Menschen aus Syrien, Afghanistan, der Türkei, dem Irak und Georgien. Deutschland bleibt innerhalb der Europäischen Union eines der Hauptzielländer für Menschen, die internationalen Schutz suchen.",Stimme eher zu,Stimme eher zu,Stimme voll zu,Stimme weder zu noch nicht zu,Stimme voll zu,Stimme eher zu,Regelmäßig,Nein,,D,1
2026-05-11 17:08:28,2026-05-11 17:12:28,IP Address,109.41.112.100,100,239,True,2026-05-11 17:12:29,R_8lAfQtuEOiQ12Xn,,,,,52.5196,13.4069,anonymous,DE,Ich stimme zu,18-29,Männlich,,Germany,Abgeschlossene Sekundarbildung,3,Nein,,,,"25,2 Mio",Ukraine,217774,,,,,,,Stimme eher nicht zu,Stimme eher nicht zu,Stimme voll zu,Stimme voll zu,Stimme voll zu,Stimme eher zu,Täglich,,,B,3
2026-05-11 17:09:05,2026-05-11 17:14:45,IP Address,37.120.31.100,100,339,True,2026-05-11 17:14:46,R_8okhTrf5cfxs25d,,,,,52.5201,13.4425,anonymous,DE,Ich stimme zu,50-59,Weiblich,,Germany,"Hochschul- oder Fachabschluss (MA, MS, MBA, PhD, JD, MD, DDS usw.)",4,Nein,,,,,,,,,,"22,3 Millionen Menschen",Ukraine,244.000,Stimme weder zu noch nicht zu,Stimme weder zu noch nicht zu,Stimme eher zu,Stimme eher zu,Stimme voll zu,Stimme eher zu,Gelegentlich,Nein,,D,0
2026-05-11 17:08:44,2026-05-11 17:14:46,IP Address,92.211.0.157,100,361,True,2026-05-11 17:14:47,R_8t3F5y69768ewmG,,,,,52.4836,13.3419,anonymous,DE,Ich stimme zu,18-29,Weiblich,,Germany,"Teilweise Universität, aber ohne Abschluss",1,Nein,,,,,,,27%,Syrien,Etwa 218.000,,,,Stimme weder zu noch nicht zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme voll zu,Stimme weder zu noch nicht zu,Regelmäßig,Nein,,C,0
2026-05-11 17:01:59,2026-05-11 17:17:02,IP Address,37.167.251.29,100,903,True,2026-05-11 17:17:03,R_2eJdRpXO4YoEbHf,,,,,48.8558,2.3494,anonymous,DE,Ich stimme zu,18-29,Weiblich,,Austria,"Universität, Bachelor-Abschluss",2,,"30,4% der Gesamtbevölkerung 2024",Ukraine,244.000,,,,,,,,,,Stimme eher zu,Stimme eher zu,Stimme voll zu,Stimme eher zu,Stimme voll zu,Stimme eher zu,Täglich,Veraltete Daten? Angepasst an meine politische Ausrichtung? ,,A,0
2026-05-11 17:11:02,2026-05-11 17:18:00,IP Address,134.100.17.199,100,418,True,2026-05-11 17:18:01,R_2ff3b7s4tVe0eul,,,,,53.5651,9.9739,anonymous,DE,Ich stimme zu,18-29,Keine Angabe,,Germany,Abgeschlossene Sekundarbildung,1,Nein,,,,"22,3 Millionen",Ukraine,etwa 244.000,,,,,,,Stimme eher zu,Stimme eher zu,Stimme voll zu,Stimme eher nicht zu,Stimme voll zu,Stimme eher nicht zu,Selten,"Auf die Frage ""wie viele Menschen stellten einen Antrag?"" antwortete der Bot mit der Zahl der gestellten Anträge, und konnte nicht genau antworten, ob die Zahl der Anträge gleich der Zahl der Antragstellenden ist",,B,0
2026-05-11 17:29:37,2026-05-11 17:38:25,IP Address,62.12.168.122,100,527,True,2026-05-11 17:38:26,R_2Pin2IRWwLY1EKA,,,,,47.3528,8.5549,anonymous,DE,Ich stimme zu,18-29,Männlich,,Germany,"Universität, Bachelor-Abschluss",1,Ja,,,,,,,30.4,Ukraine,217.774,,,,Stimme eher nicht zu,Stimme eher nicht zu,Stimme voll zu,Stimme gar nicht zu,Stimme voll zu,Stimme weder zu noch nicht zu,Regelmäßig,"Er antwortet extrem schnell, fast ohne Wartezeit. Die erste Frage wurde sehr unpräzise/falsch beantwortet, die anderen sehr gut",,C,3
2026-05-11 18:06:32,2026-05-11 18:16:07,IP Address,89.247.167.143,100,575,True,2026-05-11 18:16:08,R_2AYK6ib8iEIZ1wE,,,,,52.4822,13.3392,anonymous,DE,Ich stimme zu,50-59,Weiblich,,Germany,"Teilweise Universität, aber ohne Abschluss",0,Ja,,,,"25, 3 bis 30 Millionen ",Ukraine ,26.672 ,,,,,,,Stimme eher zu,Stimme eher nicht zu,Stimme eher zu,Stimme eher nicht zu,Stimme eher zu,Stimme eher nicht zu,Gelegentlich,Spinnt manchmal,,B,3
2026-05-11 18:18:46,2026-05-11 18:24:17,IP Address,172.226.108.54,100,331,True,2026-05-11 18:24:18,R_8fPmQ2Ei7x10NHj,,,,,52.5196,13.4069,anonymous,DE,Ich stimme zu,18-29,Männlich,,Germany,"Teilweise Universität, aber ohne Abschluss",3,Nein,,,,,,,30%,Ukrainer,Ca. 26.000,,,,Stimme eher nicht zu,Stimme eher nicht zu,Stimme voll zu,Stimme eher nicht zu,Stimme voll zu,Stimme eher zu,Täglich,"Ja, er weicht immer ziemlich ab von der Warheit",,C,3
2026-05-11 18:14:36,2026-05-11 18:26:21,IP Address,77.32.10.87,100,705,True,2026-05-11 18:26:23,R_2CkVqThRQO9QF30,,,,,43.1479,12.1097,anonymous,DE,Ich stimme zu,50-59,Weiblich,,Germany,"Hochschul- oder Fachabschluss (MA, MS, MBA, PhD, JD, MD, DDS usw.)",2,Nein,,,,,,,,,,"2022 lebten etwa 22,3 mio Menschen mit Migrationshintergrund in Deutschland, das entspricht 27%",Ukraine,Etwa 217.774 Anträge,Stimme voll zu,Stimme weder zu noch nicht zu,Stimme voll zu,Stimme eher zu,Stimme weder zu noch nicht zu,Stimme eher zu,Regelmäßig,Man muss das Prompten lernen. Double Check unbedingt notwendig,,D,0
2026-05-11 18:13:14,2026-05-11 18:29:07,IP Address,195.37.234.178,100,952,True,2026-05-11 18:29:08,R_2v1wzEcCQNBZEWT,,,,,50.9265,13.0635,anonymous,DE,Ich stimme zu,18-29,Weiblich,,Germany,"Teilweise Universität, aber ohne Abschluss",0,Nein,"2023 lebten 22,6 Millionen Menschen in Deutschland mit einem Migrationshintergrund ",Aus der Ukraine kamen 2022 die meisten Zugewanderten nach Deutschland ,2022 haben 217.774 Menschen einen Asylantrag in Deutschland gestellt ,,,,,,,,,,Stimme weder zu noch nicht zu,Stimme eher nicht zu,Stimme voll zu,Stimme gar nicht zu,Stimme voll zu,Stimme eher zu,Gelegentlich,,Viel Erfolg Emma!:))),A,0
2026-05-11 18:32:44,2026-05-11 18:47:25,IP Address,104.28.62.24,100,880,True,2026-05-11 18:47:26,R_20Vk0u35PeG3Vcl,,,,,50.1169,8.6837,anonymous,DE,Ich stimme zu,50-59,Weiblich,,Germany,"Hochschul- oder Fachabschluss (MA, MS, MBA, PhD, JD, MD, DDS usw.)",4,Nein,"21,2 Mio Menschen (26%)",Aus der Ukraine,244.000 Asylanträge wurden gestellt,,,,,,,,,,Stimme eher zu,Stimme weder zu noch nicht zu,Stimme voll zu,Stimme eher zu,Stimme voll zu,Stimme eher nicht zu,Regelmäßig,Nein,Leider hatte ich die Aufgabenstellung am Anfang nicht ganz richtig verstanden. Ich hoffe meine Antworten sind trotzdem verwertbar,A,0
2026-05-11 18:44:37,2026-05-11 18:51:25,IP Address,84.172.178.136,100,408,True,2026-05-11 18:51:26,R_2CPbfdU6sTXMQez,,,,,52.4237,13.3344,anonymous,DE,Ich stimme zu,60-69,Männlich,,Germany,"Hochschul- oder Fachabschluss (MA, MS, MBA, PhD, JD, MD, DDS usw.)",3,Nein,,,,Etwa 23 Prozent,,Etwa 244.000,,,,,,,Stimme eher zu,Stimme weder zu noch nicht zu,Stimme eher zu,Stimme eher zu,Stimme voll zu,Stimme eher zu,Gelegentlich,Nein,,B,0
2026-05-11 19:03:27,2026-05-11 19:09:20,IP Address,77.21.123.148,100,353,True,2026-05-11 19:09:21,R_81RlOA2r0E5Wg9z,,,,,49.4393,8.3126,anonymous,DE,Ich stimme zu,30-39,Weiblich,,Germany,"Universität, Bachelor-Abschluss",4,Nein,,,,,,,27 Prozent,Ukraine,217000,,,,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher nicht zu,Stimme voll zu,Stimme eher zu,Gelegentlich,,,C,0
2026-05-11 19:04:32,2026-05-11 19:12:48,IP Address,94.139.23.78,100,495,True,2026-05-11 19:12:48,R_2R988NIzNYzQHYD,,,,,52.5078,13.4326,anonymous,DE,Ich stimme zu,18-29,Weiblich,,Germany,Abgeschlossene Sekundarbildung,2,Nein,,,,"21,9 Millionen ",Polen,217.774,,,,,,,Stimme eher zu,Stimme weder zu noch nicht zu,Stimme eher zu,Stimme eher zu,Stimme voll zu,Stimme eher zu,Gelegentlich,,,B,0
2026-05-11 19:05:12,2026-05-11 19:13:38,IP Address,46.114.153.45,100,506,True,2026-05-11 19:13:39,R_2cBVmlG169fW8Tv,,,,,51.2187,6.7924,anonymous,DE,Ich stimme zu,40-49,Männlich,,Germany,Abgeschlossene Sekundarbildung,6,Ja,,,,,,," im Jahr 2022 etwa 22,3 Millionen Menschen in Deutschland",Ukraine wahrscheinlich, etwa 244.000,,,,Stimme voll zu,Stimme weder zu noch nicht zu,Stimme eher zu,Stimme eher zu,Stimme voll zu,Stimme weder zu noch nicht zu,Gelegentlich,nein,,C,2
2026-05-11 19:41:42,2026-05-11 19:48:34,IP Address,104.28.62.29,100,411,True,2026-05-11 19:48:34,R_2s6f0a84qCnIkWw,,,,,49.4922,8.464,anonymous,DE,Ich stimme zu,18-29,Weiblich,,Germany,Keine Angabe,,Ja,,,,,,,,,,"22,3 Millionen",Ukraine ,244.000,Stimme eher zu,Stimme weder zu noch nicht zu,Stimme weder zu noch nicht zu,Stimme eher zu,Stimme voll zu,Stimme weder zu noch nicht zu,Täglich,"Ja, falsche Antworten zu meiner Frage",,D,0
2026-05-11 19:49:11,2026-05-11 19:55:30,IP Address,94.31.117.137,100,379,True,2026-05-11 19:55:31,R_80zviZM27eJdEv7,,,,,51.4429,9.5231,anonymous,DE,Ich stimme zu,18-29,Weiblich,,Germany,Berufsschule oder ähnliches,3,Nein,,,,27%,keine antwort erhalten ,keine antwort erhalten ,,,,,,,Stimme eher nicht zu,Stimme eher nicht zu,Stimme weder zu noch nicht zu,Stimme eher zu,Stimme voll zu,Stimme voll zu,Gelegentlich,,,B,0
2026-05-11 19:40:41,2026-05-11 20:00:22,IP Address,88.123.72.80,100,1180,True,2026-05-11 20:00:22,R_8gBBiKNjBgxP3mn,,,,,42.6831,2.7886,anonymous,DE,Ich stimme zu,50-59,Weiblich,,France,"Universität, Bachelor-Abschluss",3,,"30,4%",Ukrain,217774,,,,,,,,,,Stimme eher zu,Stimme eher zu,Stimme voll zu,Stimme gar nicht zu,Stimme voll zu,Stimme eher zu,Gelegentlich,Ne,Das ist ein bischen schwierig für mich auf Deutsch !,A,3
2026-05-11 19:58:44,2026-05-11 20:11:41,IP Address,172.225.240.6,100,777,True,2026-05-11 20:11:42,R_2j6iKZ2sbwcubqz,,,,,50.1169,8.6837,anonymous,DE,Ich stimme zu,40-49,Männlich,,Germany,Berufsschule oder ähnliches,3,Nein,,,,,,,"25,2%",Ukraine,217.774,,,,Stimme eher zu,Stimme eher zu,Stimme voll zu,Stimme eher nicht zu,Stimme voll zu,Stimme weder zu noch nicht zu,Täglich,Er war sich bei keiner der Antworten wirklich sicher.,,C,3
2026-05-11 20:13:26,2026-05-11 20:18:54,IP Address,91.58.14.198,100,328,True,2026-05-11 20:18:55,R_8D6qq7TosrVXJN7,,,,,52.4983,13.5247,anonymous,DE,Ich stimme zu,30-39,Weiblich,,Germany,"Hochschul- oder Fachabschluss (MA, MS, MBA, PhD, JD, MD, DDS usw.)",2,Nein,,,,,,,,,,"22,6 Millionen",Ukraine ,etwa 244.000 Menschen,Stimme eher zu,Stimme eher nicht zu,Stimme voll zu,Stimme eher zu,Stimme voll zu,Stimme eher zu,Regelmäßig,Da stand etwas von Migrationspolitik. Also ein spezieller Chatbot? Muss aber gestehen ich habe nicht so aufmerksam hingesehen ,,D,0
2026-05-11 20:22:45,2026-05-11 20:36:36,IP Address,95.91.230.126,100,830,True,2026-05-11 20:36:37,R_8wHHUbYM1zSQrTP,,,,,53.603,9.9568,anonymous,DE,Ich stimme zu,60-69,Weiblich,,Germany,"Hochschul- oder Fachabschluss (MA, MS, MBA, PhD, JD, MD, DDS usw.)",3,Nein,,,,25 Millionen Menschen in Deutschland haben einen Migrationshintergrund,Ukraine,217000,,,,,,,Stimme eher zu,Stimme weder zu noch nicht zu,Stimme eher zu,Stimme eher zu,Stimme voll zu,Stimme eher nicht zu,Gelegentlich,,,B,3
2026-05-11 20:29:43,2026-05-11 20:41:28,IP Address,94.135.167.58,100,704,True,2026-05-11 20:41:28,R_2E4wovn5jg1TUXn,,,,,53.5563,9.9064,anonymous,DE,Ich stimme zu,18-29,Nichtbinär/drittes Geschlecht,,Germany,Abgeschlossene Sekundarbildung,0,Nein,,,,,,,"27,2",Aus der Ukraine,244.000,,,,Stimme voll zu,Stimme eher zu,Stimme voll zu,Stimme eher zu,Stimme voll zu,Stimme eher zu,Regelmäßig,"Das einen der Chatbot konkret darauf hinweist, dass die Antworten falsch sein könnten. Auch andere Chatbots, wie z.B. ChatGPT haben ein kleines Hinweisfeld, in dem jenes erklärt wird, aber weisen so gut wie nie explizit in ihren Antworten auf die Fehlerquote hin.","Es hat mir großen Spaß gemacht an der Umfrage teilzunehmen. Ich hoffe, dass die Ergebnisse genutzt werden, um in den großen Chatbots Anwendung zu finden.",C,0
2026-05-11 19:53:52,2026-05-11 20:43:49,IP Address,109.41.114.3,100,2996,True,2026-05-11 20:43:49,R_2sXdXJeCg8aDDfy,,,,,52.5196,13.4069,anonymous,DE,Ich stimme zu,18-29,Weiblich,,Germany,"Teilweise Universität, aber ohne Abschluss",3,Nein,"25,2 mio menschen",Ukraine,244.132 ,,,,,,,,,,Stimme eher zu,Stimme eher nicht zu,Stimme voll zu,Stimme weder zu noch nicht zu,Stimme voll zu,Stimme eher zu,Regelmäßig,,,A,3
2026-05-11 20:58:37,2026-05-11 21:08:39,IP Address,95.91.246.34,100,601,True,2026-05-11 21:08:39,R_8poPAqC6tqk78gr,,,,,52.5312,13.3878,anonymous,DE,Ich stimme zu,18-29,Weiblich,,Germany,"Universität, Bachelor-Abschluss",0,Ja,"24,3%",Ukraine ,244000,,,,,,,,,,Stimme eher nicht zu,Stimme eher nicht zu,Stimme voll zu,Stimme eher nicht zu,Stimme voll zu,Stimme weder zu noch nicht zu,Regelmäßig,,,A,3
